query,k,graph_type,retriever_type,algorithm,success,is_expected_path,visited_count,path_length,time,path,selected_edge_count,expected_edge_count,preserved_edge_count,missing_edge_count,preserved_edge_rate,missing_edges
비가 오면 왜 체육 수업이 취소되는가,FULL,full,full,bfs,True,True,8,4,1.7743999990216253e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,90,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,2,top_k,naive_top_k,bfs,False,False,2,0,4.4010000124217186e-06,,2,3,1,2,0.3333333333333333,땅이 젖는다->운동장이 미끄럽다|비가 온다->땅이 젖는다
비가 오면 왜 체육 수업이 취소되는가,2,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.676999987575982e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,9,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,3,top_k,naive_top_k,bfs,False,False,3,0,6.157000001394408e-06,,3,3,1,2,0.3333333333333333,땅이 젖는다->운동장이 미끄럽다|비가 온다->땅이 젖는다
비가 오면 왜 체육 수업이 취소되는가,3,top_k_expansion,top_k_expansion,bfs,True,True,8,4,5.806000018537816e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,9,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,4,top_k,naive_top_k,bfs,False,False,4,0,4.294999996545812e-06,,4,3,1,2,0.3333333333333333,땅이 젖는다->운동장이 미끄럽다|비가 온다->땅이 젖는다
비가 오면 왜 체육 수업이 취소되는가,4,top_k_expansion,top_k_expansion,bfs,True,True,8,4,8.301000008259507e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,9,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,5,top_k,naive_top_k,bfs,False,False,5,0,4.05800000180534e-06,,5,3,1,2,0.3333333333333333,땅이 젖는다->운동장이 미끄럽다|비가 온다->땅이 젖는다
비가 오면 왜 체육 수업이 취소되는가,5,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.423000002087065e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,9,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,6,top_k,naive_top_k,bfs,False,False,6,0,4.266000019015337e-06,,6,3,2,1,0.6666666666666666,땅이 젖는다->운동장이 미끄럽다
