query,start,target,expected_path
비가 오면 왜 체육 수업이 취소되는가,비가 온다,체육 수업이 취소된다,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,도로 공사가 시작된다,출근 시간이 길어진다,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다
수면 시간이 부족하면 왜 실수가 늘어나는가,수면 시간이 부족하다,실수가 늘어난다,수면 시간이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다
숙제를 제출하지 않으면 왜 최종 성적이 하락하는가,숙제를 제출하지 않는다,최종 성적이 하락한다,숙제를 제출하지 않는다>감점이 발생한다>과제 점수가 낮아진다>최종 성적이 하락한다
서버 메모리가 부족하면 왜 사용자 요청이 실패하는가,서버 메모리가 부족하다,사용자 요청이 실패한다,서버 메모리가 부족하다>프로세스가 느려진다>응답 시간이 증가한다>사용자 요청이 실패한다
매출이 감소하면 왜 투자 계획이 연기되는가,매출이 감소한다,투자 계획이 연기된다,매출이 감소한다>현금 유입이 줄어든다>운영 자금이 부족하다>투자 계획이 연기된다
불을 세게 하면 왜 음식이 탈 수 있는가,불을 세게 한다,음식이 탈 수 있다,불을 세게 한다>팬 온도가 올라간다>재료 겉면이 빨리 익는다>음식이 탈 수 있다
훈련 강도가 높으면 왜 다음 경기력이 떨어지는가,훈련 강도가 높다,다음 경기력이 떨어진다,훈련 강도가 높다>근육 피로가 증가한다>회복 시간이 필요하다>다음 경기력이 떨어진다
복습을 하지 않으면 왜 시험 시간이 부족한가,복습을 하지 않는다,시험 시간이 부족하다,복습을 하지 않는다>기억이 약해진다>문제 풀이 속도가 느려진다>시험 시간이 부족하다
비밀번호가 유출되면 왜 피해 신고가 필요한가,비밀번호가 유출된다,피해 신고가 필요하다,비밀번호가 유출된다>계정 접근이 가능하다>개인정보가 노출된다>피해 신고가 필요하다
