query,k,graph_type,algorithm,success,is_expected_path,visited_count,path_length,time,path,expected_edge_count,preserved_edge_count,missing_edge_count,preserved_edge_rate,missing_edges
비가 오면 왜 체육 수업이 취소되는가,FULL,full,bfs,True,True,8,4,3.390002530068159e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,FULL,full,dfs,True,True,4,4,1.0499963536858559e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,2,top_k,bfs,False,False,3,0,9.800074622035027e-06,,3,0,3,0.0,땅이 젖는다->운동장이 미끄럽다|비가 온다->땅이 젖는다|운동장이 미끄럽다->체육 수업이 취소된다
비가 오면 왜 체육 수업이 취소되는가,70,top_k,bfs,True,True,8,4,1.4899997040629387e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,85,top_k,bfs,True,True,8,4,1.8200022168457508e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,86,top_k,bfs,True,True,8,4,1.2400094419717789e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,87,top_k,bfs,True,True,8,4,1.6399892047047615e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,88,top_k,bfs,True,True,8,4,1.71000137925148e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,89,top_k,bfs,True,True,8,4,2.7300091460347176e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,90,top_k,bfs,True,True,8,4,1.2999982573091984e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,100,top_k,bfs,True,True,8,4,2.189993392676115e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,FULL,full,bfs,True,True,8,4,1.4499993994832039e-05,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,FULL,full,dfs,True,True,4,4,1.0400079190731049e-05,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,2,top_k,bfs,False,False,3,0,8.800067007541656e-06,,3,0,3,0.0,도로 공사가 시작된다->차선이 줄어든다|차량 속도가 느려진다->출근 시간이 길어진다|차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,70,top_k,bfs,True,True,8,4,1.1300086043775082e-05,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,85,top_k,bfs,True,True,8,4,2.0299921743571758e-05,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,86,top_k,bfs,True,True,8,4,2.0799925550818443e-05,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,87,top_k,bfs,True,True,8,4,1.9200029782950878e-05,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,88,top_k,bfs,True,True,8,4,1.3999990187585354e-05,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,89,top_k,bfs,True,True,8,4,2.3399945348501205e-05,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,90,top_k,bfs,True,True,8,4,1.309998333454132e-05,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,100,top_k,bfs,True,True,8,4,1.8999911844730377e-05,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,3,3,0,1.0,
수면 시간이 부족하면 왜 실수가 늘어나는가,FULL,full,bfs,True,True,8,4,1.1800089851021767e-05,수면 시간이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다,3,3,0,1.0,
수면 시간이 부족하면 왜 실수가 늘어나는가,FULL,full,dfs,True,True,4,4,7.900060154497623e-06,수면 시간이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다,3,3,0,1.0,
수면 시간이 부족하면 왜 실수가 늘어나는가,2,top_k,bfs,False,False,3,0,7.900060154497623e-06,,3,0,3,0.0,수면 시간이 부족하다->피로가 쌓인다|집중력이 떨어진다->실수가 늘어난다|피로가 쌓인다->집중력이 떨어진다
수면 시간이 부족하면 왜 실수가 늘어나는가,70,top_k,bfs,True,True,8,4,1.1599971912801266e-05,수면 시간이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다,3,3,0,1.0,
수면 시간이 부족하면 왜 실수가 늘어나는가,85,top_k,bfs,True,True,8,4,1.8600025214254856e-05,수면 시간이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다,3,3,0,1.0,
수면 시간이 부족하면 왜 실수가 늘어나는가,86,top_k,bfs,True,True,8,4,1.1499971151351929e-05,수면 시간이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다,3,3,0,1.0,
수면 시간이 부족하면 왜 실수가 늘어나는가,87,top_k,bfs,True,True,8,4,1.850002445280552e-05,수면 시간이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다,3,3,0,1.0,
수면 시간이 부족하면 왜 실수가 늘어나는가,88,top_k,bfs,True,True,8,4,1.3599987141788006e-05,수면 시간이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다,3,3,0,1.0,
수면 시간이 부족하면 왜 실수가 늘어나는가,89,top_k,bfs,True,True,8,4,2.0699924789369106e-05,수면 시간이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다,3,3,0,1.0,
수면 시간이 부족하면 왜 실수가 늘어나는가,90,top_k,bfs,True,True,8,4,1.179997343569994e-05,수면 시간이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다,3,3,0,1.0,
수면 시간이 부족하면 왜 실수가 늘어나는가,100,top_k,bfs,True,True,8,4,1.8700025975704193e-05,수면 시간이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다,3,3,0,1.0,
숙제를 제출하지 않으면 왜 최종 성적이 하락하는가,FULL,full,bfs,True,True,8,4,1.1900090612471104e-05,숙제를 제출하지 않는다>감점이 발생한다>과제 점수가 낮아진다>최종 성적이 하락한다,3,3,0,1.0,
숙제를 제출하지 않으면 왜 최종 성적이 하락하는가,FULL,full,dfs,True,True,4,4,7.400056347250938e-06,숙제를 제출하지 않는다>감점이 발생한다>과제 점수가 낮아진다>최종 성적이 하락한다,3,3,0,1.0,
숙제를 제출하지 않으면 왜 최종 성적이 하락하는가,2,top_k,bfs,False,False,3,0,7.400056347250938e-06,,3,0,3,0.0,감점이 발생한다->과제 점수가 낮아진다|과제 점수가 낮아진다->최종 성적이 하락한다|숙제를 제출하지 않는다->감점이 발생한다
숙제를 제출하지 않으면 왜 최종 성적이 하락하는가,70,top_k,bfs,True,True,8,4,1.100008375942707e-05,숙제를 제출하지 않는다>감점이 발생한다>과제 점수가 낮아진다>최종 성적이 하락한다,3,3,0,1.0,
숙제를 제출하지 않으면 왜 최종 성적이 하락하는가,85,top_k,bfs,True,True,8,4,1.8400023691356182e-05,숙제를 제출하지 않는다>감점이 발생한다>과제 점수가 낮아진다>최종 성적이 하락한다,3,3,0,1.0,
숙제를 제출하지 않으면 왜 최종 성적이 하락하는가,86,top_k,bfs,True,True,8,4,1.2299977242946625e-05,숙제를 제출하지 않는다>감점이 발생한다>과제 점수가 낮아진다>최종 성적이 하락한다,3,3,0,1.0,
