query,k,graph_type,algorithm,success,is_expected_path,visited_count,path_length,time,path
비가 오면 체육 수업이 취소되는가?,FULL,full,bfs,True,True,8,4,2.7400092221796513e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다
비가 오면 체육 수업이 취소되는가?,FULL,full,dfs,True,True,4,4,9.399955160915852e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다
비가 오면 체육 수업이 취소되는가?,2,top_k,bfs,False,False,3,0,1.0299962013959885e-05,
비가 오면 체육 수업이 취소되는가?,3,top_k,bfs,False,False,4,0,8.499948307871819e-06,
비가 오면 체육 수업이 취소되는가?,4,top_k,bfs,False,False,5,0,7.3999399319291115e-06,
비가 오면 체육 수업이 취소되는가?,5,top_k,bfs,False,False,5,0,1.100008375942707e-05,
비가 오면 체육 수업이 취소되는가?,6,top_k,bfs,False,False,5,0,1.3599987141788006e-05,
비가 오면 체육 수업이 취소되는가?,8,top_k,bfs,False,False,5,0,1.0199961252510548e-05,
비가 오면 체육 수업이 취소되는가?,10,top_k,bfs,True,True,7,4,1.3399985618889332e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다
비가 오면 체육 수업이 취소되는가?,12,top_k,bfs,True,True,9,4,1.4300108887255192e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다
비가 오면 체육 수업이 취소되는가?,14,top_k,bfs,True,True,9,4,2.0000035874545574e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다
비가 오면 체육 수업이 취소되는가?,16,top_k,bfs,True,True,9,4,2.0399922505021095e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다
비가 오면 체육 수업이 취소되는가?,18,top_k,bfs,True,True,9,4,1.6000005416572094e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다
비가 오면 체육 수업이 취소되는가?,20,top_k,bfs,True,True,9,4,1.6999896615743637e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다
비가 오면 체육 수업이 취소되는가?,22,top_k,bfs,True,True,9,4,1.4599994756281376e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다
비가 오면 체육 수업이 취소되는가?,24,top_k,bfs,True,True,9,4,1.309998333454132e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다
비가 오면 체육 수업이 취소되는가?,26,top_k,bfs,True,True,9,4,1.3699987903237343e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다
눈이 오면 사고 위험이 증가하는가?,FULL,full,bfs,True,True,7,4,1.3199984095990658e-05,눈이 온다>도로가 얼어붙는다>차가 미끄러진다>사고 위험이 증가한다
눈이 오면 사고 위험이 증가하는가?,FULL,full,dfs,True,True,4,4,8.899951353669167e-06,눈이 온다>도로가 얼어붙는다>차가 미끄러진다>사고 위험이 증가한다
눈이 오면 사고 위험이 증가하는가?,2,top_k,bfs,False,False,3,0,9.100069291889668e-06,
눈이 오면 사고 위험이 증가하는가?,3,top_k,bfs,False,False,4,0,8.300063200294971e-06,
눈이 오면 사고 위험이 증가하는가?,4,top_k,bfs,False,False,4,0,8.200062438845634e-06,
눈이 오면 사고 위험이 증가하는가?,5,top_k,bfs,False,False,4,0,6.3999323174357414e-06,
