sentence,source,target,domain,type,is_answer_path
비가 온다 이면 땅이 젖는다,비가 온다,땅이 젖는다,weather,answer,1
땅이 젖는다 이면 운동장이 미끄럽다,땅이 젖는다,운동장이 미끄럽다,weather,answer,1
운동장이 미끄럽다 이면 체육 수업이 취소된다,운동장이 미끄럽다,체육 수업이 취소된다,weather,answer,1
비가 온다 이면 우산을 챙긴다,비가 온다,우산을 챙긴다,weather,distractor,0
비가 온다 이면 창문을 닫는다,비가 온다,창문을 닫는다,weather,distractor,0
비가 온다 이면 빨래가 마르지 않는다,비가 온다,빨래가 마르지 않는다,weather,distractor,0
비가 온다 이면 하늘이 흐리다,비가 온다,하늘이 흐리다,weather,distractor,0
하늘이 흐리다 이면 비가 온다,하늘이 흐리다,비가 온다,weather,cycle,0
우산을 챙긴다 이면 비가 온다,우산을 챙긴다,비가 온다,weather,cycle,0
도로 공사가 시작된다 이면 차선이 줄어든다,도로 공사가 시작된다,차선이 줄어든다,traffic,answer,1
차선이 줄어든다 이면 차량 속도가 느려진다,차선이 줄어든다,차량 속도가 느려진다,traffic,answer,1
차량 속도가 느려진다 이면 출근 시간이 길어진다,차량 속도가 느려진다,출근 시간이 길어진다,traffic,answer,1
도로 공사가 시작된다 이면 안내 표지판이 설치된다,도로 공사가 시작된다,안내 표지판이 설치된다,traffic,distractor,0
도로 공사가 시작된다 이면 소음이 발생한다,도로 공사가 시작된다,소음이 발생한다,traffic,distractor,0
도로 공사가 시작된다 이면 인부가 배치된다,도로 공사가 시작된다,인부가 배치된다,traffic,distractor,0
도로 공사가 시작된다 이면 임시 신호등이 켜진다,도로 공사가 시작된다,임시 신호등이 켜진다,traffic,distractor,0
임시 신호등이 켜진다 이면 도로 공사가 시작된다,임시 신호등이 켜진다,도로 공사가 시작된다,traffic,cycle,0
안내 표지판이 설치된다 이면 도로 공사가 시작된다,안내 표지판이 설치된다,도로 공사가 시작된다,traffic,cycle,0
수면 시간이 부족하다 이면 피로가 쌓인다,수면 시간이 부족하다,피로가 쌓인다,health,answer,1
피로가 쌓인다 이면 집중력이 떨어진다,피로가 쌓인다,집중력이 떨어진다,health,answer,1
집중력이 떨어진다 이면 실수가 늘어난다,집중력이 떨어진다,실수가 늘어난다,health,answer,1
수면 시간이 부족하다 이면 커피를 찾는다,수면 시간이 부족하다,커피를 찾는다,health,distractor,0
수면 시간이 부족하다 이면 눈이 건조하다,수면 시간이 부족하다,눈이 건조하다,health,distractor,0
수면 시간이 부족하다 이면 아침을 거른다,수면 시간이 부족하다,아침을 거른다,health,distractor,0
수면 시간이 부족하다 이면 운동량이 줄어든다,수면 시간이 부족하다,운동량이 줄어든다,health,distractor,0
커피를 찾는다 이면 수면 시간이 부족하다,커피를 찾는다,수면 시간이 부족하다,health,cycle,0
눈이 건조하다 이면 수면 시간이 부족하다,눈이 건조하다,수면 시간이 부족하다,health,cycle,0
숙제를 제출하지 않는다 이면 감점이 발생한다,숙제를 제출하지 않는다,감점이 발생한다,school,answer,1
감점이 발생한다 이면 과제 점수가 낮아진다,감점이 발생한다,과제 점수가 낮아진다,school,answer,1
과제 점수가 낮아진다 이면 최종 성적이 하락한다,과제 점수가 낮아진다,최종 성적이 하락한다,school,answer,1
숙제를 제출하지 않는다 이면 선생님이 확인한다,숙제를 제출하지 않는다,선생님이 확인한다,school,distractor,0
숙제를 제출하지 않는다 이면 알림장이 비어 있다,숙제를 제출하지 않는다,알림장이 비어 있다,school,distractor,0
